date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
24-02-2022,10:21:56,11.2,1314.29,47.08,147.19,0.0,0.0,14,10,2,79.8,37991,7068,1588193280,482608128
24-02-2022,10:21:57,4.1,1315.14,47.12,147.26,0.0,0.0,14,10,2,79.8,37991,7070,1588193280,482640896
24-02-2022,10:21:58,3.1,1316.07,47.13,147.3,0.0,0.0,14,10,2,79.8,37991,7070,1588193280,482640896
24-02-2022,10:21:59,3.1,1317.02,47.14,147.33,0.0,0.0,14,10,2,79.8,37991,7070,1588193280,482640896
24-02-2022,10:22:00,4.1,1317.96,47.15,147.36,0.0,0.0,14,10,2,79.8,37991,7070,1588193280,482640896
24-02-2022,10:22:01,7.2,1318.86,47.17,147.39,0.0,0.0,14,10,2,79.8,37991,7084,1588193280,482706432
24-02-2022,10:22:02,6.1,1319.76,47.18,147.45,0.0,0.0,14,10,2,79.8,37991,7084,1588193280,482706432
24-02-2022,10:22:04,2.1,1320.69,47.2,147.5,0.0,0.0,14,10,2,79.8,37991,7084,1588193280,482706432
24-02-2022,10:22:05,3.1,1321.63,47.2,147.52,0.0,0.0,14,10,2,79.8,37991,7084,1588193280,482706432
24-02-2022,10:22:06,3.1,1322.58,47.22,147.55,0.0,0.0,14,10,2,79.8,37991,7084,1588193280,482706432
