date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
26-02-2022,23:45:56,14.4,2354.81,72.63,492.65,0.0,0.0,14,10,2,80.1,76456,13894,2297437184,1030972416
26-02-2022,23:45:57,30.5,2355.62,72.65,492.77,0.0,0.0,14,10,2,80.1,76457,13895,2297441280,1030976512
26-02-2022,23:45:58,8.0,2356.28,72.67,493.04,0.0,0.0,14,10,2,80.1,76457,13895,2297441280,1030976512
26-02-2022,23:45:59,4.0,2357.2,72.69,493.1,0.0,0.0,14,10,2,80.1,76458,13895,2297445376,1030976512
26-02-2022,23:46:00,7.3,2358.15,72.69,493.14,0.0,0.0,14,10,2,80.1,76458,13895,2297445376,1030976512
26-02-2022,23:46:01,4.0,2359.04,72.71,493.19,0.0,0.0,14,10,2,80.1,76458,13895,2297445376,1030976512
26-02-2022,23:46:02,4.0,2359.99,72.73,493.21,0.0,0.0,14,10,2,80.1,76458,13895,2297445376,1030976512
26-02-2022,23:46:03,2.0,2360.94,72.74,493.24,0.0,0.0,14,10,2,80.1,76458,13906,2297445376,1031095296
26-02-2022,23:46:04,4.0,2361.9,72.74,493.26,0.0,0.0,14,10,2,80.1,76458,13906,2297445376,1031095296
26-02-2022,23:46:05,2.0,2362.85,72.76,493.28,0.0,0.0,14,10,2,80.1,76458,13906,2297445376,1031095296
