date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
22-02-2022,13:34:07,43.7,11471.31,266.01,1353.93,0.0,0.0,14,10,2,79.8,290943,47482,11366037504,2176484352
22-02-2022,13:34:08,24.0,11471.85,266.04,1354.33,0.0,0.0,14,10,2,79.8,290946,47482,11366082560,2176484352
22-02-2022,13:34:09,68.7,11472.54,266.06,1354.54,0.0,0.0,14,10,2,79.8,290962,47482,11366803456,2176484352
22-02-2022,13:34:11,9.4,11472.77,266.13,1355.17,0.0,0.0,14,10,2,79.8,290969,47482,11366889472,2176484352
22-02-2022,13:34:12,12.4,11473.64,266.15,1355.24,0.0,0.0,14,10,2,79.8,290969,47482,11366889472,2176484352
22-02-2022,13:34:13,28.9,11474.43,266.18,1355.33,0.0,0.0,14,10,2,79.8,290972,47484,11366901760,2176537600
22-02-2022,13:34:14,17.5,11475.12,266.22,1355.58,0.0,0.0,14,10,2,79.8,290972,47484,11366901760,2176537600
22-02-2022,13:34:15,14.9,11475.92,266.27,1355.71,0.0,0.0,14,10,2,79.8,290972,47484,11366901760,2176537600
22-02-2022,13:34:16,9.4,11476.69,266.31,1355.82,0.0,0.0,14,10,2,79.8,290978,47484,11367086080,2176537600
22-02-2022,13:34:17,11.3,11477.56,266.34,1355.9,0.0,0.0,14,10,2,79.8,290978,47484,11367086080,2176537600
