date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
27-02-2022,17:18:13,100.0,3277.65,172.31,1136.54,0.0,0.0,14,10,2,80.2,76990,25422,3314867200,1462146048
27-02-2022,17:18:14,61.4,3277.65,172.36,1137.49,0.0,0.0,14,10,2,80.2,77002,25427,3315637248,1463133184
27-02-2022,17:18:15,68.0,3278.01,172.46,1138.01,0.0,0.0,14,10,2,80.2,77002,25446,3315637248,1463358464
27-02-2022,17:18:16,48.0,3278.33,172.52,1138.63,0.0,0.0,14,10,2,80.2,77002,25446,3315637248,1463358464
27-02-2022,17:18:17,49.5,3278.82,172.61,1139.03,0.0,0.0,14,10,2,80.2,77003,25446,3315657728,1463358464
27-02-2022,17:18:18,61.1,3279.32,172.69,1139.46,0.0,0.0,14,10,2,80.2,77003,25446,3315661824,1463358464
27-02-2022,17:18:19,99.0,3279.67,172.77,1139.94,0.0,0.0,14,10,2,80.2,77004,25446,3315661824,1463358464
27-02-2022,17:18:20,100.0,3279.68,172.82,1140.88,0.0,0.0,14,10,2,80.2,77004,25478,3315661824,1464472576
27-02-2022,17:18:21,27.4,3279.68,172.92,1141.78,0.0,0.0,14,10,2,80.2,77004,25480,3315661824,1465259008
27-02-2022,17:18:22,18.8,3280.33,172.96,1142.01,0.0,0.0,14,10,2,80.2,77004,25483,3315661824,1465349120
