date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
22-02-2022,12:23:14,9.3,8416.15,91.4,536.1,0.0,0.0,14,10,2,79.6,66929,21944,2574011392,1511904256
22-02-2022,12:23:15,4.0,8417.02,91.41,536.18,0.0,0.0,14,10,2,79.6,66938,21944,2574322688,1511904256
22-02-2022,12:23:16,3.1,8417.95,91.43,536.2,0.0,0.0,14,10,2,79.6,66938,21946,2574322688,1511953408
22-02-2022,12:23:17,30.3,8418.9,91.44,536.22,0.0,0.0,14,10,2,79.6,66946,21946,2574470144,1511953408
22-02-2022,12:23:18,24.0,8419.59,91.49,536.47,0.0,0.0,14,10,2,79.6,66947,21946,2574522368,1511953408
22-02-2022,12:23:19,54.0,8420.34,91.53,536.67,0.0,0.0,14,10,2,79.6,66954,21946,2574645248,1511953408
22-02-2022,12:23:20,23.5,8420.8,91.58,537.17,0.0,0.0,14,10,2,79.6,66955,21946,2574653440,1511953408
22-02-2022,12:23:21,60.2,8421.55,91.61,537.37,0.0,0.0,14,10,2,79.6,66955,21948,2574653440,1512018944
22-02-2022,12:23:22,21.3,8421.94,91.66,537.91,0.0,0.0,14,10,2,79.6,66956,21951,2574665728,1512109056
22-02-2022,12:23:23,2.0,8422.68,91.67,538.11,0.0,0.0,14,10,2,79.6,66956,21951,2574665728,1512109056
