date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
27-02-2022,16:48:13,24.7,2167.38,92.42,620.2,0.0,0.0,14,10,2,80.2,57729,17521,2413440000,1286882304
27-02-2022,16:48:14,7.2,2168.11,92.48,620.39,0.0,0.0,14,10,2,80.2,57729,17521,2413440000,1286882304
27-02-2022,16:48:15,5.3,2169.01,92.49,620.46,0.0,0.0,14,10,2,80.2,57729,17521,2413440000,1286882304
27-02-2022,16:48:16,8.2,2169.91,92.5,620.52,0.0,0.0,14,10,2,80.2,57729,17521,2413440000,1286882304
27-02-2022,16:48:17,5.2,2170.81,92.53,620.59,0.0,0.0,14,10,2,80.2,57729,17523,2413440000,1286919168
27-02-2022,16:48:18,8.2,2171.73,92.54,620.64,0.0,0.0,14,10,2,80.2,57729,17523,2413440000,1286919168
27-02-2022,16:48:19,7.1,2172.63,92.56,620.7,0.0,0.0,14,10,2,80.2,57729,17523,2413440000,1286919168
27-02-2022,16:48:20,8.2,2173.54,92.57,620.76,0.0,0.0,14,10,2,80.2,57729,17523,2413440000,1286919168
27-02-2022,16:48:21,59.8,2174.44,92.59,620.82,0.0,0.0,14,10,2,80.2,57729,17531,2413440000,1286964224
27-02-2022,16:48:22,81.0,2174.83,92.66,621.33,0.0,0.0,14,10,2,80.2,57729,17531,2413440000,1286964224
