TimeStamp,Dst_IP,Source_IP
2022-03-15_11-03-27,13.107.42.18,192.168.66.240
2022-03-15_11-03-27,192.168.66.82,192.168.66.240
2022-03-15_11-03-27,13.107.42.18,192.168.66.240
2022-03-15_11-03-27,117.18.232.200,192.168.66.240
