TimeStamp,Dst_IP,Source_IP
2022-03-15_11-02-32,192.168.66.240,13.107.42.18
2022-03-15_11-02-32,13.107.42.18,192.168.66.240
2022-03-15_11-02-32,13.107.42.18,192.168.66.240
2022-03-15_11-02-32,13.107.42.18,192.168.66.240
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,??,??
2022-03-15_11-02-32,??,??
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,13.107.42.18,192.168.66.240
2022-03-15_11-02-32,13.107.42.18,192.168.66.240
2022-03-15_11-02-32,40.77.226.250,192.168.66.240
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,224.0.0.251,192.168.66.240
2022-03-15_11-02-32,192.168.66.240,40.77.226.250
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,192.168.66.240,192.168.66.82
2022-03-15_11-02-32,192.168.66.82,192.168.66.240
2022-03-15_11-02-32,192.168.66.240,192.168.66.82
2022-03-15_11-02-32,??,??
2022-03-15_11-02-32,??,??
2022-03-15_11-02-32,??,??
2022-03-15_11-02-32,??,??
2022-03-15_11-02-32,13.107.42.18,192.168.66.240
